"","country","year","reading","math","science","gdp","life expectancy","homicide rate"
"341","Sweden","2009","497","494","495","46946.9602719954","81.3512195121951","0.99859498759"
"342","Sweden","2012","483","478","485","58037.8213192173","81.7048780487805","0.71257784782"
"343","Sweden","2015","500","494","493","51545.4836095322","82.2048780487805","1.1469593953"
"344","Sweden","2018","506","502","499","54589.0603860606","82.5585365853659","1.0830726772"
"35","Switzerland","2006","499","530","512","59300.6172165015","81.490243902439","0.80450943629"
"351","Switzerland","2009","501","534","517","72083.167695454","82.0439024390244","0.6611439969"
"352","Switzerland","2012","509","531","515","86547.6708907266","82.6975609756098","0.56193764091"
"353","Switzerland","2015","492","521","506","84776.1421659748","82.8975609756098","0.68701393011"
"354","Switzerland","2018","484","515","495","86388.4049527184","83.7536585365854","0.58646802447"
"36","Turkey","2006","447","424","424","8101.85692374776","72.83","4.6075436689"
"361","Turkey","2009","464","445","454","9103.47405061243","74.074","5.1765664855"
"362","Turkey","2012","475","448","463","11795.6334567571","75.373","4.3080441231"
"363","Turkey","2015","428","420","425","11006.2795239649","76.532","2.846067371"
"364","Turkey","2018","466","454","468","9454.34844272271","77.437","2.5904756723"
"37","United Kingdom","2006","495","495","515","44654.0969208924","79.2487804878049","1.4139771875"
"372","United Kingdom","2009","494","492","514","38952.2110262455","80.0512195121951","1.1236917188"
"373","United Kingdom","2012","499","494","514","42686.8000524926","80.9048780487805","0.97171187116"
"374","United Kingdom","2015","498","492","509","45404.5677734722","80.9560975609756","0.98997650309"
"375","United Kingdom","2018","504","502","505","43646.9519711494","81.2560975609756","1.2049147774"
"38","United States","2006","—","474","489","46298.7314440927","77.6878048780488","5.8130909014"
"381","United States","2009","500","487","502","47099.9804711343","78.390243902439","5.0272999297"
"382","United States","2012","498","481","497","51602.9310457907","78.7414634146342","4.7305490441"
"383","United States","2015","497","470","496","56863.3714957652","78.690243902439","4.9498515188"
"384","United States","2018","505","478","502","63064.4184096731","78.6390243902439","4.9569505476"
"51","Uruguay","2006","413","427","428","5887.84516224163","76.046","6.0744517281"
"511","Uruguay","2009","426","427","427","9451.93244869934","76.603","6.7469211948"
"512","Uruguay","2012","411","409","416","15171.5801734227","77.004","7.9018045413"
"513","Uruguay","2015","437","418","435","15613.7459681824","77.369","8.5873060859"
"514","Uruguay","2018","427","418","426","18703.8602924478","77.77","12.060453021"
