Country Name,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Djibouti,58.34,58.719,59.124,59.561,60.062,60.667,61.395,62.239,63.171,64.136,65.064,65.893,66.582
Dominica,,,,,,,,,,,,,
Denmark,78.0951219512195,78.1951219512195,78.4463414634146,78.5975609756098,79.1,79.8,80.0512195121951,80.3,80.7,80.7024390243902,80.8536585365854,81.1024390243903,80.9536585365854
Dominican Republic,71.041,71.304,71.559,71.806,72.046,72.284,72.523,72.763,73.003,73.241,73.471,73.689,73.892
Algeria,73.521,73.936,74.311,74.644,74.938,75.199,75.436,75.661,75.878,76.09,76.298,76.499,76.693
East Asia & Pacific (excluding high income),71.9275696944326,72.2123465128119,72.4966401585636,72.780724173253,73.066264292376,73.3557386668668,73.6476911162518,73.9384117979514,74.2257369925711,74.5022718470481,74.7620466808602,75.0019150982619,75.2176631582702
Early-demographic dividend,66.480344635492,66.8666471494141,67.2624996097162,67.661689856882,68.0560210364218,68.4389041334533,68.8032052554736,69.1451633998496,69.460918965504,69.7485062321695,70.0112350713132,70.2542346980289,70.4832383376349
East Asia & Pacific,72.9216443010547,73.2009338754334,73.469895503291,73.7591251644885,74.0129991679213,74.2661288330307,74.5628325394206,74.8494438608504,75.1268699576521,75.3946135673733,75.6378548577114,75.8685854337846,76.0715281382642
Europe & Central Asia (excluding high income),69.017078961414,69.5301262361015,69.8496220001298,70.4610677336959,70.795982942007,71.370828264962,71.7335212502793,72.1744440523959,72.393889067956,72.7063196211847,73.0616606731059,73.5121641340298,73.6821793783286
Europe & Central Asia,74.6181881702959,74.9759239094508,75.2437254102825,75.6426621333643,75.9449243614252,76.4604357341034,76.6226139269226,76.9562530796372,77.283114899785,77.2405490023075,77.5956406653906,77.7899565668106,77.9092530428108
Ecuador,74.319,74.514,74.705,74.895,75.089,75.289,75.495,75.707,75.923,76.143,76.365,76.584,76.8
"Egypt, Arab Rep.",69.608,69.788,69.971,70.159,70.349,70.543,70.736,70.928,71.117,71.302,71.482,71.656,71.825
Euro area,79.8561324008539,80.0998819166968,80.3029157917899,80.5051815068132,80.7467809595169,81.2328248541922,81.2271581838087,81.5123287222875,81.9429827046427,81.5692290983944,81.9545453224235,81.9323163550777,82.0495811667699
Eritrea,59.487,60.243,60.952,61.602,62.193,62.732,63.238,63.726,64.201,64.664,65.111,65.538,65.941
