Country Name,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Brazil,23.960670588,23.470728215,23.894658908,22.960855373,22.109854307,24.34453674,26.621868092,26.941953612,28.849832246,28.59025632,29.877807011,30.831362508,27.382530291
Barbados,12.613748986,8.9701866875,8.2158702035,6.7589921276,10.987803538,9.541074325,7.754725095,8.4419650081,8.7773194067,10.864727138,7.6977445608,10.481118265,9.7683505442
Brunei Darussalam,0.81023707537,0.8000704062,0.26356156007,0.78144943241,0.25731150646,0.25400889539,1.0025138034,0.49454272107,,,,,
Bhutan,1.3690211803,2.1056652925,2.6801228687,2.3587374268,2.3340559181,4.615626492,4.703655453,3.3791632347,,1.6486120747,1.2216542284,1.7436487594,1.193007386
Botswana,14.216375413,14.929686509,14.66875753,14.793997425,15.248305828,,,,,,,,
Central African Republic,,,,,,,,,,,20.120400654,,
Canada,1.8686421985,1.812892765,1.8417621548,1.8076166625,1.6282273237,1.7545304234,1.5692099924,1.442067897,1.463646963,1.6931901668,1.682106961,1.7967939805,1.755921136
Central Europe and the Baltics,,,,,,,1.6,,1.3,1.3,,,
Switzerland,0.80450943629,0.67666305868,0.70839869623,0.6611439969,0.66592612267,0.58176387772,0.56193764091,0.70293342752,0.49963423118,0.68701393011,0.53699828698,0.53217928481,0.58646802447
Channel Islands,1.3071980863,,0.63921861916,,0,,,,,,,,
Chile,3.6075682379,3.7265124604,3.5192184941,3.7308606847,3.17069021,3.6904685642,2.4942014127,3.1642127988,2.4663593928,3.3946681228,3.3609620523,4.2175509131,4.4048944838
China,1.3428634132,1.1975537265,1.0942179341,1.0775293576,0.97968265009,0.87286746537,0.81534082885,0.76443188394,0.72049529638,0.65394419747,0.61058689229,0.56227146084,0.52709078934
Cote d'Ivoire,,,,,,,,,,,,,
Cameroon,,,4.0306089429,6.452779349,4.9112059857,3.9939937986,4.0958299471,,0.9346679039,1.154586912,1.1535303315,1.388093415,
"Congo, Dem. Rep.",,,,,,,,,,,,,
"Congo, Rep.",,,,,,,,,,,,,
Colombia,40.459804299,39.320938054,36.470478391,35.345208745,34.184160481,35.317629927,35.680396624,33.16235475,28.408881626,26.897770606,25.743617318,25.019503231,25.343802597
Comoros,,,,,,,,,,,,,
Cabo Verde,7.459966622,6.1044021159,7.0708709233,7.80821383,7.9164670634,10.624265823,11.083819405,10.552233556,12.541580162,8.7662461409,11.673005234,7.0697805949,6.8044225068
Costa Rica,8.0774682131,8.3775557789,11.471787804,11.61314555,11.513158973,10.230761959,8.6817350586,8.6670261409,9.9470533158,11.489736076,11.797517051,12.181928927,11.261254504
Caribbean small states,,,,,,,29,,27.4,31.5,,,
Cuba,5.1148892027,5.0483876401,4.5830839706,5.032640459,4.4985525796,4.7522971884,5.5165125833,5.9737357705,5.3064900407,5.465891293,5.0462686372,,
Curacao,13.5529922,19.036601527,,,,,,,,,,,
Cayman Islands,1.9712590432,3.8255547054,7.4301105229,14.461054572,15.880858272,,,8.3426492917,8.2171969498,,,,
Cyprus,1.4347092514,1.2221399106,0.83212521081,1.7302786933,0.71902550473,0.80011592791,1.9382474367,1.04907393,0.95461499943,1.292004131,1.1109316529,0.59337874094,1.2612864112
Czech Republic,1.262306395,1.2165056647,1.0934971737,0.89624914964,0.97755291741,0.8138920393,0.9923164465,0.85013699958,0.76479279214,0.83007982915,0.61211797717,0.62024059321,
Germany,0.99174890685,0.93137322209,0.89063505993,0.99258391484,0.981107786,0.9127379369,0.81385525966,0.84016663732,0.87906291893,0.83386916356,1.1716216448,0.98356599145,0.9479766191
Djibouti,,,,,,,,,,,,,
Dominica,7.0703356995,9.8874246084,9.8829575456,18.349141825,21.16342396,8.4611913357,,,12.659830358,12.644889357,22.438189799,26.588301147,
